entidad,campo,problema,valor_legacy
oferta:24165,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:paragraph -->

Formar profesionales con conocimientos y capacidades para el desarrollo de actividades de docencia, investigación, análisis y evaluación en el campo de los Estudios de Género e interseccionales, así como con capacidades para diseñar, implementar, evaluar y tomar decisiones tendientes a generar y profundizar políticas públicas integrales.

<!-- /wp:paragraph -->

<!-- wp:paragraph -->

Contribuir al fortalecimiento del campo de los Estudios de Género e interseccionales, la producción de conocimientos novedosos y la articulación de los mismos con la producción y perfeccionamiento de las políticas públicas para lograr su integralidad.

<!-- /wp:paragraph -->"
oferta:24165,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24519
oferta:24166,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:paragraph -->

Contribuir y enriquecer el campo de la salud mediante la incorporación de la perspectiva de género, interseccional y de derechos humanos.

<!-- /wp:paragraph -->

<!-- wp:paragraph -->

Contribuir con las políticas públicas en el campo de la salud.

<!-- /wp:paragraph -->

<!-- wp:paragraph -->

Profundizar en el desarrollo académico de los estudios de género en la temática de salud integral.

<!-- /wp:paragraph -->

<!-- wp:paragraph -->

Ser un espacio formativo y de generación de producción académica que permita enriquecer el debate y el conocimiento en el campo de la salud integral.

<!-- /wp:paragraph -->"
oferta:24166,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24520
oferta:24167,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:heading -->
<h3 class=""wp-block-heading""><strong>Objetivo general</strong></h3>
<!-- /wp:heading -->

<!-- wp:paragraph -->

Consolidar líneas de formación interdisciplinaria sobre la Violencia de Género. Se trata de promover una formación integral para la intervención en materia de prevención, atención e investigación en el campo de la violencia de género y en el diseño e implementación de políticas públicas en la materia.

<!-- /wp:paragraph -->

<!-- wp:heading -->
<h3 class=""wp-block-heading""><strong>Objetivos específicos </strong></h3>
<!-- /wp:heading -->

<!-- wp:list -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list""><!-- wp:list-item -->
 	<li>Promover la adquisición de conocimientos sobre los principales conceptos del campo de los estudios de género y políticas públicas con perspectiva de género.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Generar un campo de conocimientos que permitan especializar las capacidades de profesionales de diversos ámbitos que les posibilite accionar en distintas dimensiones (atención directa, prevención, diseño e implementación de políticas públicas).</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<ul class=""wp-block-list"">
 	<li style=""list-style-type: none"">
<ul class=""wp-block-list"">
 	<li>Promover la práctica profesional en diálogo con las teorías que le da fundamento; los conocimientos estarán orientados a revisar críticamente los supuestos, las prácticas y fortalecer las capacidades en el desempeño de las personas cursantes en sus ámbitos de trabajo o espacios de incidencia.</li>
</ul>
</li>
</ul>
<!-- /wp:list-item -->

<!-- /wp:list -->"
oferta:24167,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,14304
oferta:24168,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Contribuir a la formación de profesionales de diversos ámbitos sobre la violencia hacia la infancia y adolescencia, fortaleciendo el accionar en distintas dimensiones (atención directa, prevención, investigación y producción de conocimientos, diseño e implementación de políticas públicas).</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Desarrollar habilidades que permitan a los y las estudiantes formular estrategias o propuestas de acción en el tema de la violencia hacia las infancias y las adolescencias, a través de la sistematización y aplicación de los conocimientos adquiridos, ponderando tanto la información a su alcance como los recursos, métodos, técnicas y/o modelos más idóneos.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Contribuir al desarrollo de una práctica profesional sobre la violencia hacia las infancias y las adolescencias en diálogo con las teorías que le dan fundamento.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Fortalecer las capacidades en el abordaje sobre violencia a hacia niños, niñas y adolescentes de las personas cursantes en sus ámbitos de trabajo o de inserción profesional, a través de una revisión crítica de supuestos y prácticas en este campo.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->"
oferta:24168,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24521
oferta:24169,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:paragraph -->
<p><strong>Objetivo general</strong></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Promover el conocimiento de las particularidades de China de forma integral, indagando y recorriendo los principales pilares filosóficos, las principales corrientes de pensamiento y los aspectos culturales que componen y definen la complejidad política, económica y social de China para comprender el rol que la potencia emergente tiene en la actualidad.&nbsp;</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p><strong>Objetivos específicos</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Acercar a las personas cursantes a la comprensión de las ideas-fuerza de cada una de las corrientes filosóficas -confucianismo, daoísmo, buddhismo- que moldean la cultura y cosmovisión chinas.&nbsp;</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Fomentar la comprensión del proceso de desarrollo histórico de China, desde sus tiempos antiguos hasta el presente.&nbsp;</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Capacitar en la comprensión del sistema político chino y de las bases filosóficas que orientan las líneas de acción del gobierno.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Facilitar a las personas cursantes la comprensión del sistema de cooperación e inversiones desplegado por China y la creación de un nuevo modelo de potencia mundial.&nbsp;</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Comprender los&nbsp; nuevos avances de china como cyber potencia y las interrelaciones con los desafíos que presentan las tendencias geopolíticas. Entender cómo esto impacta en las diversas concepciones de la ciencia ficción como espacio para pensar el presente.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->"
oferta:24169,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24522
oferta:24170,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:paragraph -->
<p>Consolidamos líneas de formación interdisciplinaria con una perspectiva de género y derechos humanos en el abordaje de la violencia hacia infancias y adolescencias. Promovemos una formación integral que facilite recursos para la prevención, atención e investigación en este campo, así como para el diseño, implementación y evaluación de políticas públicas en la materia.</p>
<!-- /wp:paragraph -->"
oferta:24170,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24523
oferta:24171,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:paragraph -->

Introducir a profesionales de distintos ámbitos y niveles de inserción al conocimiento vinculado con el campo de los estudios de género e interseccionales, con foco en la problematización e identificación de problemas sociales vinculados con las áreas de especificidad del Diploma.

<!-- /wp:paragraph -->"
oferta:24171,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24524
oferta:24172,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:paragraph -->
<p>Capacitar a docentes en el uso estratégico y ético de la Inteligencia Artificial (IA) generativa como herramienta para potenciar la planificación, el diseño de actividades y la evaluación de aprendizajes, promoviendo la innovación pedagógica en el nivel superior</p>
<!-- /wp:paragraph -->"
oferta:24172,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24525
oferta:24173,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:heading {""level"":4} -->
<h4 class=""wp-block-heading"">Objetivo general</h4>
<!-- /wp:heading -->

<!-- wp:paragraph -->
<p>Problematizar los conocimientos teóricos sobre la CDN al contrastarlo con la realidad de las políticas públicas de infancia en Latinoamérica y algunos de los problemas más acuciantes a atender en la vulneración de derechos.</p>
<!-- /wp:paragraph -->

<!-- wp:heading {""level"":4} -->
<h4 class=""wp-block-heading"">Objetivos específicos</h4>
<!-- /wp:heading -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Contextualizar experiencias regionales sobre promoción y protección de derechos de niños, niñas y adolescentes en la región.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Reflexionar sobre diversas formas de vulneración de los derechos de niñas y adolescentes en la región.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Adquirir herramientas teórico/metodológicas para los procesos de investigación social en materia de infancia y adolescencia</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->"
oferta:24173,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24526
oferta:24174,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<!-- wp:paragraph -->
<p><strong>Objetivos generales</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Analizar los principales nudos problemáticos que atraviesan el campo de la salud, la salud mental y la subjetividad en relación con el trabajo</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Analizar los impactos que las nuevas modalidades de organización del trabajo poseen sobre los procesos de salud- enfermedad de individuos y colectivos</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p><strong>Objetivos específicos</strong></p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul class=""wp-block-list""><!-- wp:list-item -->
<li>Presentar las principales transformaciones de los procesos y organizaciones de trabajo en el marco del capitalismo neoliberal contemporáneo.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Analizar el panorama epidemiológico de la salud de los/las trabajadoras, así como las características que asumen los procesos de salud-enfermedad y los nuevos perfiles de riesgo en relación con distintos mundos del trabajo.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Presentar las problemáticas vinculadas con el estrés, el&nbsp;<em>burnout</em>, y las violencias relacionadas con el trabajo.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Presentar algunos nudos conceptuales relativos a la&nbsp;división social y sexual del trabajo a fin de analizar&nbsp;las relaciones entre vulnerabilidad de género /<ins>&nbsp;</ins>vulnerabilidad social / subalternidad laboral, e imbricaciones entre trabajo, clase, raza/etnia y género.</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Presentar las problemáticas que plantea el trabajo de cuidado.&nbsp;</li>
<!-- /wp:list-item -->

<!-- wp:list-item -->
<li>Analizar el impacto de la precariedad del trabajo y del empleo, los despidos masivos y&nbsp; el desempleo en la salud y la subjetividad de las y los individuos y los colectivos.</li>
<!-- /wp:list-item --></ul>
<!-- /wp:list -->"
oferta:24174,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,24527
oferta:26595,objetivo_general/objetivos_especificos,El legado contiene objetivos_html combinado; requiere separación manual.,"<ul>
 	<li style=""margin-left: 15px"">Brindar conocimientos teóricos y técnicos sobre materiales, patologías y técnicas de intervención en documentos históricos de obra plana.</li>
 	<li style=""margin-left: 15px"">Capacitar en la identificación y diagnóstico de deterioros y en los criterios para la implementación de medidas de conservación preventiva.</li>
 	<li style=""margin-left: 15px"">Promover criterios éticos vinculados a la intervención mínima, la toma de decisiones y la aplicación de protocolos estandarizados para la preservación de la integridad del patrimonio documental.</li>
 	<li style=""margin-left: 15px"">Desarrollar capacidades prácticas para la realización de primeras intervenciones y el dominio de técnicas de estabilización no acuosa mediante talleres presenciales.</li>
</ul>"
oferta:26595,imagen,Thumbnail legacy no se inserta como ID académico; resolver media por separado.,26653
oferta:24160,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23822.,
oferta:24160,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23828.,
oferta:24160,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23900.,
oferta:24160,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23901.,
oferta:24160,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23905.,
oferta:24160,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23906.,
oferta:24160,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23912.,
oferta:24160,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23919.,
oferta:24161,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25896.,
oferta:24161,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25895.,
oferta:24161,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25893.,
oferta:24161,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25894.,
oferta:24161,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25892.,
